iter	RMSE
0	7.852214528
1	7.587930624
2	7.344533366
3	7.117114787
4	6.88021487
5	6.684745555
6	6.446948925
7	6.250937035
8	6.072648217
9	5.89028313
10	5.694310374
11	5.516595376
12	5.338947934
13	5.184373803
14	5.024728291
15	4.890729284
16	4.75850527
17	4.618099252
18	4.51378882
19	4.392271119
20	4.262485723
21	4.155360087
22	4.039156997
23	3.942225996
24	3.847555919
25	3.732144186
26	3.640482051
27	3.552615607
28	3.457867398
29	3.375973073
30	3.292915329
31	3.213309261
32	3.136882973
33	3.076853206
34	3.013636034
35	2.949941677
36	2.884646906
37	2.819555147
38	2.760442847
39	2.71044204
40	2.652661923
41	2.609617054
42	2.56723657
43	2.519918988
44	2.475500569
45	2.435804917
46	2.400650814
47	2.371794498
48	2.33916172
49	2.300004183
50	2.264619788
51	2.235615885
52	2.198194046
53	2.171760242
54	2.137705995
55	2.107888057
56	2.074496092
57	2.040789989
58	2.020656594
59	1.993710602
60	1.975282808
61	1.949176324
62	1.927839171
63	1.904514522
64	1.889866972
65	1.875737644
66	1.850579126
67	1.826744847
68	1.813505086
69	1.791098306
70	1.774970092
71	1.755318611
72	1.732919808
73	1.716659712
74	1.71037894
75	1.694738133
76	1.679982829
77	1.665118962
78	1.654749644
79	1.645449819
80	1.633248407
81	1.624035222
82	1.609901744
83	1.599640472
84	1.587409638
85	1.574679538
86	1.559061004
87	1.549184556
88	1.539252619
89	1.527702273
90	1.520130927
91	1.512595076
92	1.509356709
93	1.497279771
94	1.483590721
95	1.472985472
96	1.46424507
97	1.457061475
98	1.450071896
99	1.445906023
100	1.439116584
101	1.428362879
102	1.423445796
103	1.414032592
104	1.403266638
105	1.398741266
106	1.391855348
107	1.386330985
108	1.380182667
109	1.371644494
110	1.363066227
111	1.35637986
112	1.350136196
113	1.342606242
114	1.334377262
115	1.328632774
116	1.325030332
117	1.319818412
118	1.309802269
119	1.30509133
120	1.300703212
121	1.293565888
122	1.29091377
123	1.285961808
124	1.282628241
125	1.276975125
126	1.272272727
127	1.266528701
128	1.260829714
129	1.258409308
130	1.252007397
131	1.246520144
132	1.241417018
133	1.234349543
134	1.230158909
135	1.225244767
136	1.215174702
137	1.21007663
138	1.202267586
139	1.198431913
140	1.194216586
141	1.189443201
142	1.184497682
143	1.18055153
144	1.176092192
145	1.171710122
146	1.1686781
147	1.164362596
148	1.159944241
149	1.155543242
150	1.144624228
151	1.140205973
152	1.135281838
153	1.131998292
154	1.128845169
155	1.124378043
156	1.118814249
157	1.116386093
158	1.113034124
159	1.10722097
160	1.102734292
161	1.091836047
162	1.087527
163	1.084330591
164	1.080125427
165	1.077573146
166	1.07444187
167	1.071576694
168	1.066422782
169	1.06261505
170	1.059966897
171	1.057537436
172	1.047073005
173	1.037842108
174	1.034493654
175	1.026220209
176	1.018877191
177	1.016374845
178	1.010432548
179	1.007244553
180	1.003112745
181	0.9988853264
182	0.9962751574
183	0.9932259776
184	0.9903516401
185	0.9859526171
186	0.9819163357
187	0.9753463212
188	0.9713621012
189	0.9685005083
190	0.9658515012
191	0.9638596447
192	0.9613284712
193	0.9583501012
194	0.9561986803
195	0.9538753821
196	0.9500749044
197	0.9428752806
198	0.9408036929
199	0.9340204246
200	0.9322841349
201	0.9246077993
202	0.9193519734
203	0.917086303
204	0.9100790039
205	0.9087049799
206	0.9067870996
207	0.9020918611
208	0.8948305724
209	0.8919341369
210	0.8905745482
211	0.8887747455
212	0.8871602004
213	0.8852886091
214	0.8822015312
215	0.8808997585
216	0.8799547598
217	0.8728024514
218	0.8698895951
219	0.863647391
220	0.861069995
221	0.8551379394
222	0.851461154
223	0.8492426526
224	0.8466128344
225	0.8456761684
226	0.8428896726
227	0.8393222181
228	0.8371279766
229	0.8351942322
230	0.8342806553
231	0.8333891448
232	0.831252193
233	0.8302867948
234	0.8293453322
235	0.8282571506
236	0.8263382087
237	0.8231689398
238	0.8223461592
239	0.8199303701
240	0.8132995871
241	0.8111345245
242	0.8087237202
243	0.8079103961
244	0.806053227
245	0.803814281
246	0.80203922
247	0.8001424995
248	0.7981958639
249	0.7956353225
250	0.7928258961
251	0.7882516048
252	0.7855635715
253	0.784765321
254	0.7833033541
255	0.7814673043
256	0.7806911556
257	0.7799337814
258	0.7780094881
259	0.7753253751
260	0.7731939132
261	0.7718569089
262	0.7695306116
263	0.7675763381
264	0.7668292301
265	0.7648444245
266	0.7636223118
267	0.7628945461
268	0.7606002009
269	0.7571205311
270	0.7558725684
271	0.754231591
272	0.7535197336
273	0.751453543
274	0.7503887988
275	0.7497274771
276	0.7490471438
277	0.7470450999
278	0.7463856879
279	0.7427442888
280	0.7420309132
281	0.7408186792
282	0.7397101216
283	0.7374723739
284	0.7355941552
285	0.7349611271
286	0.7288430441
287	0.7272625909
288	0.7256626982
289	0.725043677
290	0.7235395557
291	0.7221899581
292	0.7154844398
293	0.7141158046
294	0.7134961473
295	0.7121307434
296	0.7115648219
297	0.7068576672
298	0.7062846869
299	0.7051003745
300	0.7009426185
301	0.7003844418
302	0.6994358443
303	0.6960017341
304	0.6954552166
305	0.6943466665
306	0.6922301833
307	0.6916981931
308	0.6904402904
309	0.6899187692
310	0.6886163327
311	0.687273546
312	0.68623209
313	0.6850738217
314	0.6832221012
315	0.6827234651
316	0.6788733564
317	0.6783706046
318	0.6778186863
319	0.6763329329
320	0.674588721
321	0.6697097226
322	0.6686079851
323	0.6655246224
324	0.660682062
325	0.6560816544
326	0.6555698768
327	0.6517408695
328	0.6512625861
329	0.6503402852
330	0.6481607619
331	0.6469722134
332	0.6465192103
333	0.6460782731
334	0.6441362057
335	0.6437202364
336	0.6426342306
337	0.6406624336
338	0.6379304668
339	0.6374875545
340	0.6364292871
341	0.6359929034
342	0.6355671346
343	0.6324522201
344	0.6312510097
345	0.6288542528
346	0.6277502098
347	0.6266544712
348	0.6262345009
349	0.6249491957
350	0.6245380748
351	0.6232560753
352	0.6221984379
353	0.6217925704
354	0.620807677
355	0.6204121457
356	0.6193331023
357	0.6166223109
358	0.6157221276
359	0.6133840739
360	0.6125708848
361	0.6121841252
362	0.6117023163
363	0.6084744618
364	0.6024724918
365	0.5998533607
366	0.5989847776
367	0.5981745398
368	0.595708057
369	0.5953500722
370	0.5913388607
371	0.590564727
372	0.5880369486
373	0.5861990078
374	0.585849432
375	0.5850726089
376	0.5847310708
377	0.5822314216
378	0.5803072067
379	0.5796794836
380	0.5776116462
381	0.5764261166
382	0.5738246306
383	0.5700299401
384	0.5696870329
385	0.5656080392
386	0.565241622
387	0.564900895
388	0.5645692161
389	0.5640528303
390	0.5634155002
391	0.5630791196
392	0.5606708692
393	0.5603494817
394	0.5600289889
395	0.5547643445
396	0.5542069081
397	0.5528706004
398	0.5517782489
399	0.5497653674
400	0.5493128515
401	0.5482988699
402	0.5468964725
403	0.5465903277
404	0.5457461062
405	0.5439093275
406	0.5389894226
407	0.5367816189
408	0.5363258173
409	0.5351573856
410	0.5335144825
411	0.5322009201
412	0.531460035
413	0.5294606077
414	0.5283051679
415	0.5273287319
416	0.5240618679
417	0.522090614
418	0.5218035383
419	0.5180997372
420	0.5178048664
421	0.5172211655
422	0.5161206085
423	0.514936024
424	0.5138928009
425	0.5113263084
426	0.5087009795
427	0.5084121471
428	0.5077861723
429	0.5070251093
430	0.5067588413
431	0.5043316881
432	0.5005692151
433	0.4997692536
434	0.4971085419
435	0.4968428764
436	0.4955040944
437	0.4952289951
438	0.4944935198
439	0.4931530041
440	0.492899342
441	0.4923554901
442	0.4889812659
443	0.487213344
444	0.4854171045
445	0.4842621836
446	0.4833646802
447	0.4831165645
448	0.4822086076
449	0.4804937155
450	0.4796709622
451	0.4785653275
452	0.4775593079
453	0.4773143199
454	0.4741780568
455	0.47070791
456	0.4701388651
457	0.4696055066
458	0.4685601271
459	0.4683190845
460	0.4674622854
461	0.4668871338
462	0.4666513312
463	0.4632715738
464	0.4625912343
465	0.4620349251
466	0.4612099802
467	0.4587184763
468	0.457611694
469	0.4573819315
470	0.4568341555
471	0.4535854605
472	0.4533319985
473	0.4528723921
474	0.4526530256
475	0.4517696881
476	0.4504105841
477	0.4501333653
478	0.4482589917
479	0.448048399
480	0.4470328447
481	0.4451446282
482	0.4446524089
483	0.4433911957
484	0.440757506
485	0.4401156577
486	0.4387723514
487	0.4379024495
488	0.4369931409
489	0.4365974695
490	0.4347338753
491	0.4345313504
492	0.4315006376
493	0.4306513995
494	0.4301754074
495	0.4291757362
496	0.4277671925
497	0.4271285503
498	0.4269289835
499	0.4259181065
500	0.4233785673
501	0.4227826566
502	0.4208279323
503	0.4196406493
504	0.4194189593
505	0.418782006
506	0.418219411
507	0.4180031914
508	0.4161884816
509	0.4157204883
510	0.4146285123
511	0.4140771944
512	0.4136293511
513	0.4119142465
514	0.4117247079
515	0.4082589006
516	0.4049489743
517	0.4039707679
518	0.4033503589
519	0.4030696424
520	0.4028667084
521	0.4026693658
522	0.401673676
523	0.4000249529
524	0.3990888656
525	0.3962056613
526	0.395791055
527	0.3955960967
528	0.3952110479
529	0.3938169853
530	0.3927238654
531	0.3914039025
532	0.3909002474
533	0.3887910889
534	0.3882805354
535	0.3877831719
536	0.3860420087
537	0.3857691783
538	0.384231953
539	0.3836585383
540	0.383080887
541	0.382084173
542	0.3804612982
543	0.3802938426
544	0.3797267474
545	0.3790159694
546	0.3785185798
547	0.3779955272
548	0.3775286239
549	0.3773583089
550	0.3765179558
551	0.3751783818
552	0.3747273269
553	0.3742001713
554	0.3740318991
555	0.3728200216
556	0.3715762518
557	0.3706984022
558	0.3702472514
559	0.3698915266
560	0.368315094
561	0.3674151927
562	0.3669987967
563	0.3663689378
564	0.3659632255
565	0.3644158496
566	0.3637047828
567	0.3617798367
568	0.3612066532
569	0.3589948491
570	0.358087935
571	0.357917865
572	0.3569129272
573	0.35549779
574	0.353323658
575	0.3527651316
576	0.351573857
577	0.3512063544
578	0.3496493184
579	0.3490552721
580	0.3488856484
581	0.3480608764
582	0.3472159443
583	0.3464232299
584	0.3456025531
585	0.3444014
586	0.3433910516
587	0.3432235534
588	0.3430597307
589	0.3420270748
590	0.3406932746
591	0.340180211
