iter	Passed	Remaining
0	58	46957
1	63	25277
2	68	18075
3	73	14555
4	78	12427
5	84	11191
6	88	10007
7	93	9238
8	98	8614
9	110	8723
10	115	8262
11	120	7893
12	125	7602
13	130	7319
14	134	7061
15	141	6912
16	146	6765
17	151	6586
18	156	6423
19	161	6287
20	165	6154
21	170	6037
22	172	5833
23	177	5736
24	184	5719
25	191	5686
26	195	5596
27	200	5520
28	204	5442
29	205	5278
30	210	5216
31	214	5156
32	219	5100
33	224	5048
34	228	4998
35	233	4956
36	238	4912
37	242	4871
38	247	4831
39	252	4793
40	256	4754
41	261	4721
42	266	4686
43	270	4654
44	275	4627
45	280	4598
46	285	4567
47	289	4541
48	294	4514
49	296	4449
50	301	4426
51	306	4403
52	310	4379
53	315	4360
54	320	4337
55	325	4317
56	329	4300
57	334	4283
58	339	4263
59	344	4243
60	349	4229
61	353	4212
62	355	4155
63	359	4138
64	360	4079
65	365	4065
66	370	4052
67	375	4043
68	380	4031
69	385	4020
70	390	4008
71	395	3999
72	400	3985
73	405	3973
74	409	3963
75	415	3954
76	419	3943
77	427	3954
78	432	3944
79	436	3931
80	441	3918
81	446	3906
82	450	3893
83	455	3883
84	460	3871
85	464	3859
86	469	3848
87	474	3840
88	479	3831
89	484	3821
90	488	3809
91	493	3797
92	498	3788
93	503	3780
94	508	3771
95	513	3764
96	518	3755
97	522	3746
98	527	3736
99	530	3715
100	535	3708
101	540	3698
102	545	3690
103	550	3681
104	554	3672
105	559	3665
106	564	3657
107	569	3650
108	575	3648
109	580	3640
110	585	3631
111	589	3623
112	595	3618
113	600	3611
114	604	3603
115	609	3594
116	612	3574
117	617	3567
118	622	3560
119	626	3552
120	632	3549
121	637	3542
122	642	3534
123	649	3539
124	653	3531
125	658	3524
126	663	3516
127	668	3510
128	673	3502
129	677	3493
130	683	3490
131	688	3484
132	693	3478
133	698	3471
134	703	3463
135	707	3455
136	712	3448
137	717	3440
138	722	3433
139	726	3426
140	731	3421
141	736	3414
142	742	3409
143	746	3401
144	751	3394
145	756	3387
146	761	3380
147	766	3375
148	770	3368
149	775	3361
150	780	3354
151	785	3347
152	789	3340
153	794	3333
154	799	3326
155	804	3320
156	810	3317
157	815	3312
158	819	3304
159	824	3297
160	830	3297
161	840	3311
162	848	3316
163	856	3320
164	863	3324
165	871	3329
166	879	3332
167	886	3334
168	891	3327
169	895	3319
170	900	3312
171	905	3305
172	909	3297
173	914	3291
174	919	3284
175	924	3277
176	929	3270
177	933	3263
178	938	3256
179	943	3249
180	947	3241
181	952	3234
182	957	3226
183	961	3219
184	966	3213
185	971	3206
186	975	3199
187	980	3192
188	985	3185
189	990	3178
190	994	3171
191	999	3164
192	1003	3156
193	1008	3149
194	1012	3142
195	1017	3135
196	1022	3129
197	1027	3124
198	1032	3118
199	1037	3112
200	1042	3105
201	1046	3099
202	1052	3093
203	1057	3089
204	1062	3085
205	1067	3079
206	1072	3073
207	1077	3067
208	1082	3061
209	1087	3055
210	1092	3048
211	1097	3043
212	1101	3036
213	1106	3030
214	1111	3024
215	1116	3018
216	1121	3012
217	1126	3007
218	1131	3000
219	1136	2994
220	1140	2988
221	1145	2982
222	1150	2977
223	1155	2970
224	1160	2965
225	1165	2959
226	1169	2953
227	1175	2947
228	1180	2942
229	1184	2936
230	1189	2930
231	1194	2924
232	1200	2922
233	1205	2915
234	1210	2910
235	1215	2904
236	1220	2898
237	1225	2893
238	1229	2886
239	1234	2881
240	1240	2878
241	1245	2872
242	1250	2866
243	1255	2860
244	1260	2856
245	1266	2851
246	1271	2845
247	1275	2840
248	1280	2833
249	1285	2828
250	1290	2823
251	1295	2817
252	1300	2812
253	1306	2807
254	1311	2803
255	1316	2797
256	1321	2791
257	1326	2785
258	1330	2780
259	1336	2775
260	1341	2769
261	1349	2770
262	1353	2764
263	1358	2759
264	1364	2753
265	1368	2748
266	1373	2742
267	1378	2736
268	1383	2730
269	1388	2724
270	1392	2719
271	1397	2713
272	1402	2707
273	1407	2702
274	1412	2696
275	1417	2691
276	1422	2684
277	1427	2680
278	1432	2674
279	1437	2670
280	1443	2665
281	1448	2660
282	1453	2654
283	1458	2649
284	1463	2643
285	1468	2638
286	1472	2632
287	1477	2626
288	1482	2620
289	1486	2614
290	1491	2609
291	1496	2603
292	1501	2597
293	1505	2591
294	1510	2586
295	1515	2581
296	1520	2575
297	1527	2573
298	1535	2573
299	1541	2568
300	1545	2562
301	1550	2557
302	1555	2551
303	1560	2546
304	1564	2539
305	1569	2533
306	1575	2530
307	1581	2526
308	1586	2521
309	1591	2515
310	1596	2509
311	1601	2504
312	1606	2499
313	1610	2493
314	1615	2487
315	1620	2481
316	1624	2475
317	1629	2470
318	1634	2464
319	1638	2458
320	1643	2452
321	1648	2446
322	1652	2441
323	1657	2435
324	1662	2429
325	1666	2423
326	1671	2417
327	1676	2412
328	1680	2406
329	1686	2401
330	1691	2396
331	1696	2390
332	1700	2385
333	1705	2379
334	1710	2373
335	1714	2368
336	1719	2362
337	1724	2356
338	1728	2350
339	1733	2345
340	1738	2339
341	1742	2333
342	1747	2328
343	1752	2322
344	1756	2316
345	1761	2311
346	1766	2305
347	1770	2300
348	1775	2294
349	1780	2288
350	1785	2283
351	1790	2278
352	1795	2273
353	1799	2267
354	1804	2262
355	1809	2256
356	1815	2253
357	1820	2247
358	1829	2247
359	1837	2245
360	1842	2240
361	1847	2235
362	1852	2229
363	1857	2224
364	1861	2218
365	1866	2213
366	1871	2207
367	1876	2202
368	1880	2196
369	1885	2191
370	1890	2185
371	1895	2180
372	1899	2174
373	1904	2169
374	1909	2163
375	1913	2158
376	1918	2152
377	1923	2147
378	1927	2141
379	1932	2135
380	1937	2130
381	1941	2124
382	1946	2119
383	1950	2113
384	1955	2107
385	1960	2102
386	1965	2097
387	1969	2091
388	1974	2086
389	1980	2081
390	1986	2078
391	1994	2076
392	1999	2070
393	2003	2064
394	2008	2059
395	2013	2053
396	2018	2049
397	2023	2043
398	2027	2037
399	2032	2032
400	2036	2026
401	2041	2021
402	2046	2015
403	2050	2010
404	2055	2004
405	2060	1999
406	2064	1993
407	2069	1988
408	2074	1983
409	2079	1977
410	2083	1972
411	2088	1966
412	2092	1961
413	2097	1955
414	2101	1949
415	2106	1944
416	2117	1944
417	2122	1939
418	2128	1935
419	2133	1929
420	2137	1924
421	2142	1919
422	2147	1914
423	2152	1908
424	2157	1903
425	2161	1897
426	2166	1892
427	2171	1887
428	2175	1881
429	2180	1876
430	2185	1870
431	2190	1865
432	2195	1860
433	2199	1854
434	2204	1849
435	2208	1843
436	2213	1838
437	2217	1832
438	2222	1827
439	2227	1822
440	2231	1816
441	2236	1811
442	2240	1805
443	2245	1800
444	2250	1795
445	2254	1789
446	2259	1784
447	2264	1779
448	2268	1773
449	2273	1768
450	2278	1763
451	2283	1757
452	2288	1752
453	2292	1747
454	2297	1742
455	2302	1736
456	2306	1731
457	2311	1726
458	2316	1720
459	2321	1715
460	2325	1710
461	2330	1705
462	2335	1699
463	2340	1694
464	2344	1689
465	2351	1685
466	2356	1680
467	2361	1675
468	2366	1670
469	2371	1664
470	2375	1659
471	2380	1654
472	2385	1648
473	2389	1643
474	2394	1638
475	2398	1632
476	2403	1627
477	2408	1622
478	2412	1617
479	2417	1611
480	2422	1606
481	2427	1601
482	2432	1596
483	2436	1590
484	2441	1585
485	2446	1580
486	2450	1575
487	2455	1570
488	2460	1564
489	2465	1560
490	2471	1555
491	2476	1550
492	2481	1545
493	2486	1540
494	2491	1535
495	2497	1530
496	2501	1525
497	2506	1520
498	2511	1514
499	2516	1509
500	2520	1504
501	2526	1500
502	2531	1494
503	2536	1489
504	2540	1484
505	2545	1478
506	2549	1473
507	2554	1468
508	2562	1464
509	2566	1459
510	2571	1454
511	2576	1449
512	2581	1444
513	2586	1439
514	2591	1433
515	2595	1428
516	2600	1423
517	2605	1418
518	2610	1413
519	2614	1407
520	2619	1402
521	2623	1397
522	2628	1392
523	2632	1386
524	2637	1381
525	2642	1376
526	2646	1371
527	2651	1365
528	2656	1360
529	2660	1355
530	2665	1350
531	2670	1345
532	2675	1340
533	2680	1335
534	2684	1329
535	2689	1324
536	2694	1319
537	2699	1314
538	2704	1309
539	2709	1304
540	2714	1299
541	2719	1294
542	2724	1289
543	2728	1284
544	2733	1278
545	2737	1273
546	2742	1268
547	2746	1263
548	2751	1258
549	2756	1252
550	2761	1247
551	2765	1242
552	2770	1237
553	2775	1232
554	2780	1227
555	2784	1222
556	2789	1216
557	2798	1213
558	2806	1209
559	2810	1204
560	2815	1199
561	2820	1194
562	2824	1189
563	2829	1183
564	2833	1178
565	2838	1173
566	2843	1168
567	2847	1163
568	2852	1158
569	2857	1152
570	2861	1147
571	2866	1142
572	2871	1137
573	2876	1132
574	2881	1127
575	2886	1122
576	2891	1117
577	2896	1112
578	2901	1107
579	2905	1102
580	2910	1097
581	2915	1091
582	2920	1086
583	2925	1081
584	2930	1077
585	2935	1072
586	2940	1067
587	2945	1062
588	2950	1057
589	2955	1051
590	2960	1046
591	2965	1041
592	2969	1036
593	2975	1031
594	2981	1027
595	2986	1022
596	2990	1016
597	2995	1011
598	3000	1006
599	3005	1001
600	3009	996
601	3014	991
602	3019	986
603	3024	981
604	3028	976
605	3034	971
606	3039	966
607	3045	961
608	3049	956
609	3054	951
610	3059	946
611	3064	941
612	3068	936
613	3073	931
614	3078	926
615	3083	921
616	3088	915
617	3092	910
618	3097	905
619	3102	900
620	3107	895
621	3111	890
622	3116	885
623	3121	880
624	3125	875
625	3130	870
626	3135	865
627	3139	859
628	3144	854
629	3149	849
