feature,importance
day_of_week,0.23849271404517758
is_weekend,0.16925223571235776
scheduled_hour,0.16083222802751368
time_of_day_encoded,0.11144780263609229
arr_encoded,0.10922853999564547
dep_encoded,0.07444186405109862
airline_encoded,0.051203705203708164
month,0.04703450259352837
dep_wind_speed,0.018976534995357862
dep_temperature,0.016787292235262107
flight_distance_km,0.0010172666558220164
scheduled_duration_min,0.0007690544312061239
arr_wind_speed,0.0002665162750175922
arr_temperature,0.0002497431422124173
dep_visibility,0.0
season_encoded,0.0
is_holiday,0.0
dep_weather_bad,0.0
arr_weather_bad,0.0
arr_precipitation,0.0
arr_visibility,0.0
dep_precipitation,0.0
airline_avg_delay,0.0
route_avg_delay,0.0
airport_congestion,0.0
prev_flight_delay,0.0
